,llama_gc_full_answer,llama_gc_guess,llama_gc_ask_confidence,llama_gc_tok_confidence
0,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9755890154300254
1,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994672991703987
2,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998054882768016
3,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993202541847933
4,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9738454157544196
5,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9462398104342506
6,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9996906284253853
7,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999847554566631
8,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9982541339152006
9,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999363462880796
10,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9996926537474085
11,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9995174353517442
12,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9320454989101988
13,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.946267136768246
14,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9873757364245237
15,"[Guess]: Yes

[Confidence]: 0.7",Yes,0.7,0.995246936891018
16,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.91450449522958
17,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9728963395892763
18,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9996280861642202
19,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994644412463745
20,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9989020971006712
21,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9997731961736483
22,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998576843642404
23,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998261038876674
24,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9901206393199596
25,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9991449283024191
26,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998287255883831
27,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998875982730323
